n_levels_biggests_attribute,sample_size_1...7,Tasks
2,7558,1
14,853,10
11,1500,10
2,1059,12
6,4800,5
5,8500,1
6,4655,4
4,13000,4
3,5052,6
13,3120,4
9,786,10
9,3293,5
5,7903,1
6,1583,10
10,205,10
4,8668,1
